203	나라	A country
204	부르다	To call
205	의미	A meaning, a sense	意味	meaning	意味	significance
206	자리	seat,spot
207	밝히다	To light up
208	죽다	die,pass away
209	이미	Already
210	쪽	Way, direction
211	정치	Politics	政治	government
212	국민	The people or a nationality	國民	citizen	國民	people
213	생명	Life	生命	life
214	얘기	Story
215	학생	Student	學生	student
216	연구	Research	硏究	research
217	엄마	Mamma
218	이름	Name
219	하나	One
220	내리다	Descend
221	사건	An event,incident	事件	affair	事件	case	事件	event
222	및	As well as
223	쉽다	To be easy
224	짓다	To make, build ; to form a line (a group)
225	이유	Reason	理由	reason
226	필요하다	To need	必要-	to need
227	글	words, a verse
228	생기다	arise,occur,happen
229	사용하다	To use
230	남편	Husband	男便	husband
231	밖	The outside
232	세상	The world,society	世上	world
233	작다	Small
234	타다	Ride (bus)
235	대학	University	大學	university
236	작품	A work of art	作品	production
237	상황	State of things	狀況	state of things
238	가운데	In the middle
239	보내다	Send
240	즉	namely,that is to say	卽	namely, that is to say
241	상태	condition,state	狀態	condition, state
242	이후	After that	以後	after that
243	당시	At that time	當時	at that time
244	문학	Literature	文學	literature
245	더욱	More and more
246	아주	Extremely
247	지방	A locality, district	地方	area	地方	district	脂肪	fat
248	밤	Night
249	높다	High
250	최근	Recently	最近	recently
251	채	As it is, no change
252	현실	Actuality, reality	現實	reality
253	환경	Environment	環境	environment
254	컴퓨터	Computer
255	먼저	First
256	다니다	Go to and from a aplace
257	얼마나	How many, how much
258	자체	one’s own body	字體	lettering	自體	one's own body
259	열다	Open
260	머리	Head
261	묻다	to Ask
262	남다	Remain, be left over
263	부분	part,portion	部分	part	部分	portion
264	기업	An enterprise or business	企業	enterprise
265	변화	Change, transformation	變化	change	變化	mutation	變化	variation	變化	variety
266	아들	son,baby
267	아	Oh dear
268	선거	An election	選擧	election
269	관하다	Refer to or be about	關-	refer to or be about
270	분	Minutes
271	그냥	Just because or in that condition
272	나누다	To divide
273	이용하다	To use, make use of	利用	utilize	利用-	to use, make use of
274	거의	Almost or nearly
275	곧	Soon
276	중심	The nucleus, the focus, the heart	中心	heart
277	활동	Activity	活動	action	活動	activity
278	오늘	Today
279	서로	mutually,one another
280	관심	Concern or interest	關心	concern	關心	interest
281	역시	As expected, likewise	亦是	as expected, likewise
282	이거	This thing
283	애	A baby, or a slightly derogative word for person
284	광고	Advertisement	廣告	advertisement
285	나다	To come out, grow, spring up
286	방	A room	房	a room
287	정신	mind,spirit	精神	mind	精神	soul	精神	spirit
288	이르다	To reach, arrive, get at
289	이루다	Accomplish, complete
290	아침	Morning
291	웃다	To laugh, smile
292	현상	The present situation, state	現象	phenomenon
293	기술	Art or technique or ability	奇術	magic	技術	art or  technique or  ability
294	전체	The whole, the entire section	全體	entirety	全體	whole
295	그래	So or yes or that’s right
296	얻다	Get, obtain
297	아름답다	To be beautiful
298	끝	The end
299	민족	race,nation,people	民族	nation	民族	race
300	간	The interval between	間	the interval between	肝	liver
301	조사	investigation,inquiry	調査	examination	調査	inquiry	調査	investigation
302	듯	To be like something
303	입	Mouth
304	뭐	Huh? (2) something
305	그대로	Like that
306	영화	A movie	映畵	a movie
307	필요	Need, requirement,necessity	必要	need, requirement,necessity
308	줄	way,method
309	하늘	The sky
310	년대	Year
311	과학	Science	科學	science
312	자연	Nature	自然	nature
313	정말	Really	正-	really
314	구조	Construction or structure	構造	construction
315	결국	After all or in the end	結局	after all; in the end
316	밥	Rice, a meal
317	입다	To wear
318	오히려	Rather,preferably
319	프로그램	Program
320	네	Yes
321	이루어지다	Get accomplished, achieved
322	남	Others, other people	男	a man	南	south
323	하루	A day
324	그림	A picture
325	적	The time,the occasion,when	敵	the enemy
326	터	one’s status, one’s lot
